PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34724333","Amyloid-β40 E22K fibril in familial Alzheimer's disease is more thermostable and susceptible to seeding","Lee MC, Liao YH, Chen SH, Chen YR.","IUBMB Life. 2022 Aug;74(8):739-747. doi: 10.1002/iub.2570. Epub 2021 Nov 1.","Lee MC","IUBMB Life","2022","2021/11/01","","","10.1002/iub.2570"
"35667457","Phloroglucinol, a clinical-used antispasmodic, inhibits amyloid aggregation and degrades the pre-formed amyloid proteins","Xie Y, Lu J, Yang T, Chen C, Bao Y, Jiang L, Wei H, Wu X, Zhao L, He S, Lin D, Liu F, Liu H, Yan X, Cui W.","Int J Biol Macromol. 2022 Jul 31;213:675-689. doi: 10.1016/j.ijbiomac.2022.06.008. Epub 2022 Jun 3.","Xie Y","Int J Biol Macromol","2022","2022/06/06","","","10.1016/j.ijbiomac.2022.06.008"
"35974768","Site specific NMR characterization of abeta-40 oligomers cross seeded by abeta-42 oligomers","Chang HW, Ma HI, Wu YS, Lee MC, Chung-Yueh Yuan E, Huang SJ, Cheng YS, Wu MH, Tu LH, Chan JCC.","Chem Sci. 2022 Jun 22;13(29):8526-8535. doi: 10.1039/d2sc01555b. eCollection 2022 Jul 29.","Chang HW","Chem Sci","2022","2022/08/17","PMC9337746","","10.1039/d2sc01555b"
"35966785","Enriched environment ameliorates propagation of tau pathology and improves cognition in rat model of tauopathy","Mate V, Smolek T, Kazmerova ZV, Jadhav S, Brezovakova V, Jurkanin B, Uhrinova I, Basheer N, Zilka N, Katina S, Novak P.","Front Aging Neurosci. 2022 Jul 26;14:935973. doi: 10.3389/fnagi.2022.935973. eCollection 2022.","Mate V","Front Aging Neurosci","2022","2022/08/15","PMC9363241","","10.3389/fnagi.2022.935973"
"35869271","Seed-induced Aβ deposition alters neuronal function and impairs olfaction in a mouse model of Alzheimer's disease","Ziegler-Waldkirch S, Friesen M, Loreth D, Sauer JF, Kemna S, Hilse A, Erny D, Helm C, D Errico P, Prinz M, Bartos M, Meyer-Luehmann M.","Mol Psychiatry. 2022 Jul 22. doi: 10.1038/s41380-022-01686-5. Online ahead of print.","Ziegler-Waldkirch S","Mol Psychiatry","2022","2022/07/22","","","10.1038/s41380-022-01686-5"
"35885050","Synaptic Disruption by Soluble Oligomers in Patients with Alzheimer's and Parkinson's Disease","Gutierrez BA, Limon A.","Biomedicines. 2022 Jul 19;10(7):1743. doi: 10.3390/biomedicines10071743.","Gutierrez BA","Biomedicines","2022","2022/07/27","PMC9313353","","10.3390/biomedicines10071743"
"35620875","Isotope-labeled amyloid-β does not transmit to the brain in a prion-like manner after peripheral administration","Brackhan M, Calza G, Lundgren K, Bascuñana P, Brüning T, Soliymani R, Kumar R, Abelein A, Baumann M, Lalowski M, Pahnke J.","EMBO Rep. 2022 Jul 5;23(7):e54405. doi: 10.15252/embr.202154405. Epub 2022 May 27.","Brackhan M","EMBO Rep","2022","2022/05/27","PMC9253763","","10.15252/embr.202154405"
"35643314","Cross-seeding of WT amyloid-β with Arctic but not Italian familial mutants accelerates fibril formation in Alzheimer's disease","Liang R, Tian Y, Viles JH.","J Biol Chem. 2022 Jul;298(7):102071. doi: 10.1016/j.jbc.2022.102071. Epub 2022 May 25.","Liang R","J Biol Chem","2022","2022/06/01","PMC9243174","","10.1016/j.jbc.2022.102071"
"35421539","Structural and mechanistic insights into modulation of α-Synuclein fibril formation by aloin and emodin","Meena VK, Kumar V, Karalia S, Dangi RS, Sundd M.","Biochim Biophys Acta Gen Subj. 2022 Jul;1866(7):130151. doi: 10.1016/j.bbagen.2022.130151. Epub 2022 Apr 11.","Meena VK","Biochim Biophys Acta Gen Subj","2022","2022/04/14","","","10.1016/j.bbagen.2022.130151"
"35883442","Modeling the Competition between Misfolded Aβ Conformers That Produce Distinct Types of Amyloid Pathology in Alzheimer's Disease","Xu G, Fromholt S, Borchelt DR.","Biomolecules. 2022 Jun 24;12(7):886. doi: 10.3390/biom12070886.","Xu G","Biomolecules","2022","2022/07/27","PMC9313290","","10.3390/biom12070886"
"35739575","Pathological and neurophysiological outcomes of seeding human-derived tau pathology in the APP-KI NL-G-F and NL-NL mouse models of Alzheimer's Disease","Tok S, Maurin H, Delay C, Crauwels D, Manyakov NV, Van Der Elst W, Moechars D, Drinkenburg WHIM.","Acta Neuropathol Commun. 2022 Jun 23;10(1):92. doi: 10.1186/s40478-022-01393-w.","Tok S","Acta Neuropathol Commun","2022","2022/06/23","PMC9219251","","10.1186/s40478-022-01393-w"
"35799805","Repurposing of intestinal defensins as multi-target, dual-function amyloid inhibitors via cross-seeding","Tang Y, Zhang D, Gong X, Zheng J.","Chem Sci. 2022 May 20;13(24):7143-7156. doi: 10.1039/d2sc01447e. eCollection 2022 Jun 22.","Tang Y","Chem Sci","2022","2022/07/08","PMC9214849","","10.1039/d2sc01447e"
"35634767","Location of the cross-β structure in prion fibrils: A search by seeding and electron spin resonance spectroscopy","Chu BK, Tsai RF, Hung CL, Kuo YH, Chen EH, Chiang YW, Chan SI, Chen RP.","Protein Sci. 2022 Jun;31(6):e4326. doi: 10.1002/pro.4326.","Chu BK","Protein Sci","2022","2022/05/31","PMC9112485","","10.1002/pro.4326"
"35488930","Unique seeding profiles and prion-like propagation of synucleinopathies are highly dependent on the host in human α-synuclein transgenic mice","Lloyd GM, Sorrentino ZA, Quintin S, Gorion KM, Bell BM, Paterno G, Long B, Prokop S, Giasson BI.","Acta Neuropathol. 2022 Jun;143(6):663-685. doi: 10.1007/s00401-022-02425-4. Epub 2022 Apr 30.","Lloyd GM","Acta Neuropathol","2022","2022/04/30","PMC9199436","NIHMS1810717","10.1007/s00401-022-02425-4"
"35471463","APOE4 exacerbates α-synuclein seeding activity and contributes to neurotoxicity in Alzheimer's disease with Lewy body pathology","Jin Y, Li F, Sonoustoun B, Kondru NC, Martens YA, Qiao W, Heckman MG, Ikezu TC, Li Z, Burgess JD, Amerna D, O'Leary J, DeTure MA, Zhao J, McLean PJ, Dickson DW, Ross OA, Bu G, Zhao N.","Acta Neuropathol. 2022 Jun;143(6):641-662. doi: 10.1007/s00401-022-02421-8. Epub 2022 Apr 26.","Jin Y","Acta Neuropathol","2022","2022/04/26","PMC9107450","","10.1007/s00401-022-02421-8"
"35285073","APOE Antibody Inhibits Aβ-Associated Tau Seeding and Spreading in a Mouse Model","Gratuze M, Jiang H, Wang C, Xiong M, Bao X, Holtzman DM.","Ann Neurol. 2022 Jun;91(6):847-852. doi: 10.1002/ana.26351. Epub 2022 Mar 31.","Gratuze M","Ann Neurol","2022","2022/03/14","PMC9285984","NIHMS1821493","10.1002/ana.26351"
"35624093","Fluent molecular mixing of Tau isoforms in Alzheimer's disease neurofibrillary tangles","Dregni AJ, Duan P, Xu H, Changolkar L, El Mammeri N, Lee VM, Hong M.","Nat Commun. 2022 May 27;13(1):2967. doi: 10.1038/s41467-022-30585-0.","Dregni AJ","Nat Commun","2022","2022/05/27","PMC9142584","","10.1038/s41467-022-30585-0"
"35580331","Effect of an Amyloidogenic SARS-COV-2 Protein Fragment on α-Synuclein Monomers and Fibrils","Jana AK, Lander CW, Chesney AD, Hansmann UHE.","J Phys Chem B. 2022 May 26;126(20):3648-3658. doi: 10.1021/acs.jpcb.2c01254. Epub 2022 May 17.","Jana AK","J Phys Chem B","2022","2022/05/17","PMC9186263","NIHMS1804515","10.1021/acs.jpcb.2c01254"
"35628325","New Evidence on a Distinction between Aβ40 and Aβ42 Amyloids: Thioflavin T Binding Modes, Clustering Tendency, Degradation Resistance, and Cross-Seeding","Sulatskaya AI, Rychkov GN, Sulatsky MI, Mikhailova EV, Melnikova NM, Andozhskaya VS, Kuznetsova IM, Turoverov KK.","Int J Mol Sci. 2022 May 15;23(10):5513. doi: 10.3390/ijms23105513.","Sulatskaya AI","Int J Mol Sci","2022","2022/05/28","PMC9141448","","10.3390/ijms23105513"
"35592550","Italian Real-Life Experience of Patients with Hereditary Transthyretin Amyloidosis Treated with Patisiran","Di Stefano V, Fava A, Gentile L, Guaraldi P, Leonardi L, Poli L, Tagliapietra M, Vastola M, Fanara S, Ferrero B, Giorgi M, Perfetto F, Russo M, Russo D.","Pharmgenomics Pers Med. 2022 May 12;15:499-514. doi: 10.2147/PGPM.S359851. eCollection 2022.","Di Stefano V","Pharmgenomics Pers Med","2022","2022/05/20","PMC9113125","","10.2147/PGPM.S359851"
"35546164","Neurophysiological effects of human-derived pathological tau conformers in the APPKM670/671NL.PS1/L166P amyloid mouse model of Alzheimer's disease","Tok S, Maurin H, Delay C, Crauwels D, Manyakov NV, Van Der Elst W, Moechars D, Drinkenburg WHIM.","Sci Rep. 2022 May 11;12(1):7784. doi: 10.1038/s41598-022-11582-1.","Tok S","Sci Rep","2022","2022/05/13","PMC9094605","","10.1038/s41598-022-11582-1"
"35563582","Kisspeptin-10 Rescues Cholinergic Differentiated SHSY-5Y Cells from α-Synuclein-Induced Toxicity In Vitro","Simon C, Soga T, Ahemad N, Bhuvanendran S, Parhar I.","Int J Mol Sci. 2022 May 6;23(9):5193. doi: 10.3390/ijms23095193.","Simon C","Int J Mol Sci","2022","2022/05/14","PMC9105316","","10.3390/ijms23095193"
"35513705","Cross-seeding between Aβ and SEVI indicates a pathogenic link and gender difference between alzheimer diseases and AIDS","Tang Y, Zhang D, Zhang Y, Liu Y, Miller Y, Gong K, Zheng J.","Commun Biol. 2022 May 5;5(1):417. doi: 10.1038/s42003-022-03343-7.","Tang Y","Commun Biol","2022","2022/05/05","PMC9072343","","10.1038/s42003-022-03343-7"
"35184378","Bioavailability and Health Impact of Ingested Amyloid-like Protein Fibrils and their Link with Inflammatory Status: A Need for More Research?","Luyckx T, Grootaert C, Monge-Morera M, Delcour JA, Rousseau F, Schymkowitz J, Van Camp J.","Mol Nutr Food Res. 2022 May;66(9):e2101032. doi: 10.1002/mnfr.202101032. Epub 2022 Feb 26.","Luyckx T","Mol Nutr Food Res","2022","2022/02/20","","","10.1002/mnfr.202101032"
"35128738","Nutrient-sensing amyloid metastasis","Lima LMTR, Sisnande T.","Biofactors. 2022 May;48(3):552-574. doi: 10.1002/biof.1825. Epub 2022 Feb 6.","Lima LMTR","Biofactors","2022","2022/02/07","","","10.1002/biof.1825"
"34713522","Distinct Aβ pathology in the olfactory bulb and olfactory deficits in a mouse model of Aβ and α-syn co-pathology","Friesen M, Ziegler-Waldkirch S, Egenolf M, d'Errico P, Helm C, Mezö C, Dokalis N, Erny D, Katzmarski N, Coelho R, Loreth D, Prinz M, Meyer-Luehmann M.","Brain Pathol. 2022 May;32(3):e13032. doi: 10.1111/bpa.13032. Epub 2021 Oct 29.","Friesen M","Brain Pathol","2022","2021/10/29","PMC9048518","","10.1111/bpa.13032"
"35571084","Using Caenorhabditis elegans to Model Therapeutic Interventions of Neurodegenerative Diseases Targeting Microbe-Host Interactions","Wang C, Zheng C.","Front Pharmacol. 2022 Apr 28;13:875349. doi: 10.3389/fphar.2022.875349. eCollection 2022.","Wang C","Front Pharmacol","2022","2022/05/16","PMC9096141","","10.3389/fphar.2022.875349"
"35505874","Real-Time Fast Amyloid Seeding and Translocation of α-Synuclein with a Nanopipette","Meyer N, Janot JM, Torrent J, Balme S.","ACS Cent Sci. 2022 Apr 27;8(4):441-448. doi: 10.1021/acscentsci.1c01404. Epub 2022 Feb 23.","Meyer N","ACS Cent Sci","2022","2022/05/04","PMC9052795","","10.1021/acscentsci.1c01404"
"35440098","Impact of APOE genotype on prion-type propagation of tauopathy","Williams T, Ruiz AJ, Ruiz AM, Vo Q, Tsering W, Xu G, McFarland K, Giasson BI, Sullivan P, Borchelt DR, Chakrabarty P.","Acta Neuropathol Commun. 2022 Apr 19;10(1):57. doi: 10.1186/s40478-022-01359-y.","Williams T","Acta Neuropathol Commun","2022","2022/04/20","PMC9019935","","10.1186/s40478-022-01359-y"
"35455074","Factors That Contribute to hIAPP Amyloidosis in Type 2 Diabetes Mellitus","Sevcuka A, White K, Terry C.","Life (Basel). 2022 Apr 14;12(4):583. doi: 10.3390/life12040583.","Sevcuka A","Life (Basel)","2022","2022/04/23","PMC9025880","","10.3390/life12040583"
"35386059","Amyloid seeding as a disease mechanism and treatment target in transthyretin cardiac amyloidosis","Morfino P, Aimo A, Panichella G, Rapezzi C, Emdin M.","Heart Fail Rev. 2022 Apr 6. doi: 10.1007/s10741-022-10237-7. Online ahead of print.","Morfino P","Heart Fail Rev","2022","2022/04/07","","","10.1007/s10741-022-10237-7"
"35286811","Single Molecule Fingerprinting Reveals Different Amplification Properties of α-Synuclein Oligomers and Preformed Fibrils in Seeding Assay","Lau D, Magnan C, Hill K, Cooper A, Gambin Y, Sierecki E.","ACS Chem Neurosci. 2022 Apr 6;13(7):883-896. doi: 10.1021/acschemneuro.1c00553. Epub 2022 Mar 14.","Lau D","ACS Chem Neurosci","2022","2022/03/14","PMC8990999","","10.1021/acschemneuro.1c00553"
"35406350","Synthetic Sulfated Polymers Control Amyloid Aggregation of Ovine Prion Protein and Decrease Its Toxicity","Semenyuk P, Evstafyeva D, Izumrudov V, Muronetz V.","Polymers (Basel). 2022 Apr 5;14(7):1478. doi: 10.3390/polym14071478.","Semenyuk P","Polymers (Basel)","2022","2022/04/12","PMC9002794","","10.3390/polym14071478"
"33460517","Heterotypic interactions in amyloid function and disease","Konstantoulea K, Louros N, Rousseau F, Schymkowitz J.","FEBS J. 2022 Apr;289(8):2025-2046. doi: 10.1111/febs.15719. Epub 2021 Feb 8.","Konstantoulea K","FEBS J","2022","2021/01/18","","","10.1111/febs.15719"
"35453734","Proteins Do Not Replicate, They Precipitate: Phase Transition and Loss of Function Toxicity in Amyloid Pathologies","Ezzat K, Sturchio A, Espay AJ.","Biology (Basel). 2022 Mar 30;11(4):535. doi: 10.3390/biology11040535.","Ezzat K","Biology (Basel)","2022","2022/04/23","PMC9031251","","10.3390/biology11040535"
"35454083","α-Synuclein Fibrils as Penrose Machines: A Chameleon in the Gear","De Giorgi F, Uversky VN, Ichas F.","Biomolecules. 2022 Mar 24;12(4):494. doi: 10.3390/biom12040494.","De Giorgi F","Biomolecules","2022","2022/04/23","PMC9029340","","10.3390/biom12040494"
"35276047","Cross-Seeding Controls Aβ Fibril Populations and Resulting Functions","Lucas MJ, Pan HS, Verbeke EJ, Partipilo G, Helfman EC, Kann L, Keitz BK, Taylor DW, Webb LJ.","J Phys Chem B. 2022 Mar 24;126(11):2217-2229. doi: 10.1021/acs.jpcb.1c09995. Epub 2022 Mar 11.","Lucas MJ","J Phys Chem B","2022","2022/03/11","","","10.1021/acs.jpcb.1c09995"
"35372522","Linking Alzheimer's Disease and Type 2 Diabetes: Characterization and Inhibition of Cytotoxic Aβ and IAPP Hetero-Aggregates","Al Adem K, Shanti A, Srivastava A, Homouz D, Thomas SA, Khair M, Stefanini C, Chan V, Kim TY, Lee S.","Front Mol Biosci. 2022 Mar 17;9:842582. doi: 10.3389/fmolb.2022.842582. eCollection 2022.","Al Adem K","Front Mol Biosci","2022","2022/04/04","PMC8968156","","10.3389/fmolb.2022.842582"
"35327628","Neurons with Cat's Eyes: A Synthetic Strain of α-Synuclein Fibrils Seeding Neuronal Intranuclear Inclusions","De Giorgi F, Abdul-Shukkoor MB, Kashyrina M, Largitte LA, De Nuccio F, Kauffmann B, Lends A, Laferrière F, Bonhommeau S, Lofrumento DD, Bousset L, Bezard E, Buffeteau T, Loquet A, Ichas F.","Biomolecules. 2022 Mar 11;12(3):436. doi: 10.3390/biom12030436.","De Giorgi F","Biomolecules","2022","2022/03/25","PMC8946814","","10.3390/biom12030436"
"35335141","Amyloid Cross-Seeding: Mechanism, Implication, and Inhibition","Subedi S, Sasidharan S, Nag N, Saudagar P, Tripathi T.","Molecules. 2022 Mar 8;27(6):1776. doi: 10.3390/molecules27061776.","Subedi S","Molecules","2022","2022/03/26","PMC8955620","","10.3390/molecules27061776"
"35258712","Seed amplification and RT-QuIC assays to investigate protein seed structures and strains","Standke HG, Kraus A.","Cell Tissue Res. 2022 Mar 8. doi: 10.1007/s00441-022-03595-z. Online ahead of print.","Standke HG","Cell Tissue Res","2022","2022/03/08","","","10.1007/s00441-022-03595-z"
"35257659","Co-aggregation and secondary nucleation in the life cycle of human prolactin/galanin functional amyloids","Chatterjee D, Jacob RS, Ray S, Navalkar A, Singh N, Sengupta S, Gadhe L, Kadu P, Datta D, Paul A, Arunima S, Mehra S, Pindi C, Kumar S, Singru P, Senapati S, Maji SK.","Elife. 2022 Mar 8;11:e73835. doi: 10.7554/eLife.73835.","Chatterjee D","Elife","2022","2022/03/08","PMC8993219","","10.7554/eLife.73835"
"35152697","Cross-Seeding with Homologous Sequences Alters Amyloid Aggregation Kinetics and Fibril Structure","Nag N, Tripathi T.","ACS Chem Neurosci. 2022 Mar 2;13(5):537-539. doi: 10.1021/acschemneuro.2c00083. Epub 2022 Feb 12.","Nag N","ACS Chem Neurosci","2022","2022/02/14","","","10.1021/acschemneuro.2c00083"
"35414980","Brain virtual histology with X-ray phase-contrast tomography Part II:3D morphologies of amyloid-β plaques in Alzheimer's disease models","Chourrout M, Roux M, Boisvert C, Gislard C, Legland D, Arganda-Carreras I, Olivier C, Peyrin F, Boutin H, Rama N, Baron T, Meyronet D, Brun E, Rositi H, Wiart M, Chauveau F.","Biomed Opt Express. 2022 Feb 23;13(3):1640-1653. doi: 10.1364/BOE.438890. eCollection 2022 Mar 1.","Chourrout M","Biomed Opt Express","2022","2022/04/13","PMC8973161","","10.1364/BOE.438890"
"35233574","Effect of an amyloidogenic SARS-COV-2 protein fragment on α-synuclein monomers and fibrils","Jana AK, Lander CW, Chesney AD, Hansmann UHE.","bioRxiv. 2022 Feb 23:2022.02.21.481360. doi: 10.1101/2022.02.21.481360. Preprint.","Jana AK","bioRxiv","2022","2022/03/02","PMC8887075","","10.1101/2022.02.21.481360"
"35237664","Influence of the Dynamically Disordered N-Terminal Tail Domain on the Amyloid Core Structure of Human Y145Stop Prion Protein Fibrils","Qi Z, Surewicz K, Surewicz WK, Jaroniec CP.","Front Mol Biosci. 2022 Feb 14;9:841790. doi: 10.3389/fmolb.2022.841790. eCollection 2022.","Qi Z","Front Mol Biosci","2022","2022/03/03","PMC8883029","","10.3389/fmolb.2022.841790"
"35215959","Phenotypic Heterogeneity of Variably Protease-Sensitive Prionopathy: A Report of Three Cases Carrying Different Genotypes at PRNP Codon 129","Baiardi S, Mammana A, Rossi M, Ladogana A, Carlà B, Gambetti P, Capellari S, Parchi P.","Viruses. 2022 Feb 10;14(2):367. doi: 10.3390/v14020367.","Baiardi S","Viruses","2022","2022/02/26","PMC8879235","","10.3390/v14020367"
"35216047","Mechanistic Insights into the Polymorphic Associations and Cross-Seeding of Aβ and hIAPP in the Presence of Histidine Tautomerism: An All-Atom Molecular Dynamic Study","Salimi A, Chatterjee S, Lee JY.","Int J Mol Sci. 2022 Feb 9;23(4):1930. doi: 10.3390/ijms23041930.","Salimi A","Int J Mol Sci","2022","2022/02/26","PMC8878669","","10.3390/ijms23041930"
"35185469","Crosstalk Between the NLRP3 Inflammasome/ASC Speck and Amyloid Protein Aggregates Drives Disease Progression in Alzheimer's and Parkinson's Disease","Hulse J, Bhaskar K.","Front Mol Neurosci. 2022 Feb 3;15:805169. doi: 10.3389/fnmol.2022.805169. eCollection 2022.","Hulse J","Front Mol Neurosci","2022","2022/02/21","PMC8850380","","10.3389/fnmol.2022.805169"
"35109911","Detection of plasma Aβ seeding activity by a newly developed analyzer for diagnosis of Alzheimer's disease","Jia J, Li T, Yang J, Chen B, Qin W, Wei C, Song Y, Wang Q, Li Y, Jia L.","Alzheimers Res Ther. 2022 Feb 2;14(1):21. doi: 10.1186/s13195-022-00964-2.","Jia J","Alzheimers Res Ther","2022","2022/02/03","PMC8808989","","10.1186/s13195-022-00964-2"
"34954259","Development of HANABI, an ultrasonication-forced amyloid fibril inducer","Goto Y, Nakajima K, Yamaguchi K, So M, Ikenaka K, Mochizuki H, Ogi H.","Neurochem Int. 2022 Feb;153:105270. doi: 10.1016/j.neuint.2021.105270. Epub 2021 Dec 23.","Goto Y","Neurochem Int","2022","2021/12/26","","","10.1016/j.neuint.2021.105270"
"34927250","Inactivation of seeding activity of amyloid β-protein aggregates in vitro","Nakano H, Hamaguchi T, Ikeda T, Watanabe-Nakayama T, Ono K, Yamada M.","J Neurochem. 2022 Feb;160(4):499-516. doi: 10.1111/jnc.15563. Epub 2022 Jan 7.","Nakano H","J Neurochem","2022","2021/12/20","","","10.1111/jnc.15563"
"34894476","A mechanistic survey of Alzheimer's disease","Tang Y, Zhang D, Gong X, Zheng J.","Biophys Chem. 2022 Feb;281:106735. doi: 10.1016/j.bpc.2021.106735. Epub 2021 Nov 30.","Tang Y","Biophys Chem","2022","2021/12/11","","","10.1016/j.bpc.2021.106735"
"34850985","A new strategy to reconcile amyloid cross-seeding and amyloid prevention in a binary system of α-synuclein fragmental peptide and hIAPP","Tang Y, Zhang D, Liu Y, Zhang Y, Zhou Y, Chang Y, Zheng B, Xu A, Zheng J.","Protein Sci. 2022 Feb;31(2):485-497. doi: 10.1002/pro.4247. Epub 2021 Dec 8.","Tang Y","Protein Sci","2022","2021/12/01","PMC8820123","","10.1002/pro.4247"
"35173603","Aged Cattle Brain Displays Alzheimer's Disease-Like Pathology and Promotes Brain Amyloidosis in a Transgenic Animal Model","Moreno-Gonzalez I, Edwards G 3rd, Morales R, Duran-Aniotz C, Escobedo G Jr, Marquez M, Pumarola M, Soto C.","Front Aging Neurosci. 2022 Jan 31;13:815361. doi: 10.3389/fnagi.2021.815361. eCollection 2021.","Moreno-Gonzalez I","Front Aging Neurosci","2022","2022/02/17","PMC8841674","","10.3389/fnagi.2021.815361"
