PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36073854","Alzheimer's Drug PBT2 Interacts with the Amyloid β 1-42 Peptide Differently than Other 8-Hydroxyquinoline Chelating Drugs","Summers KL, Roseman G, Schilling KM, Dolgova NV, Pushie MJ, Sokaras D, Kroll T, Harris HH, Millhauser GL, Pickering IJ, George GN.","Inorg Chem. 2022 Sep 19;61(37):14626-14640. doi: 10.1021/acs.inorgchem.2c01694. Epub 2022 Sep 8.","Summers KL","Inorg Chem","2022","2022/09/08","","","10.1021/acs.inorgchem.2c01694"
"35948163","Glutaminyl cyclases, the potential targets of cancer and neurodegenerative diseases","Zhang Y, Wang Y, Zhao Z, Peng W, Wang P, Xu X, Zhao C.","Eur J Pharmacol. 2022 Sep 15;931:175178. doi: 10.1016/j.ejphar.2022.175178. Epub 2022 Aug 7.","Zhang Y","Eur J Pharmacol","2022","2022/08/10","","","10.1016/j.ejphar.2022.175178"
"36115495","Melittin-solid phospholipid mixed films trigger amyloid-like nano-fibril arrangements at air-water interface","Alvarez AB, Caruso B, Petersen SB, Rodríguez PEA, Fidelio GD.","Biochim Biophys Acta Biomembr. 2022 Sep 14:184048. doi: 10.1016/j.bbamem.2022.184048. Online ahead of print.","Alvarez AB","Biochim Biophys Acta Biomembr","2022","2022/09/17","","","10.1016/j.bbamem.2022.184048"
"36100010","The interaction between physical activity and sleep on cognitive function and brain beta-amyloid in older adults","Sewell KR, Rainey-Smith SR, Villemagne VL, Peiffer J, Sohrabi HR, Taddei K, Ames D, Doré V, Maruff P, Laws SM, Masters CL, Rowe CC, Martins RN, Erickson KI, Brown BM.","Behav Brain Res. 2022 Sep 11;437:114108. doi: 10.1016/j.bbr.2022.114108. Online ahead of print.","Sewell KR","Behav Brain Res","2022","2022/09/13","","","10.1016/j.bbr.2022.114108"
"36096254","Cholic acid inhibits amyloid fibrillation: Interplay of protonation and deprotonation","Majid N, Siddiqi MK, Alam A, Malik S, Ali W, Khan RH.","Int J Biol Macromol. 2022 Sep 9;221:900-912. doi: 10.1016/j.ijbiomac.2022.09.019. Online ahead of print.","Majid N","Int J Biol Macromol","2022","2022/09/12","","","10.1016/j.ijbiomac.2022.09.019"
"36092583","Conformation-Dependent Influences of Hydrophobic Amino Acids in Two In-Register Parallel β-Sheet Amyloids, an α-Synuclein Amyloid and a Local Structural Model of PrP(Sc)","Otaki H, Taguchi Y, Nishida N.","ACS Omega. 2022 Aug 24;7(35):31271-31288. doi: 10.1021/acsomega.2c03523. eCollection 2022 Sep 6.","Otaki H","ACS Omega","2022","2022/09/12","PMC9453792","","10.1021/acsomega.2c03523"
"36078160","Na,K-ATPase Acts as a Beta-Amyloid Receptor Triggering Src Kinase Activation","Petrushanko IY, Tverskoi AM, Barykin EP, Petrovskaya AV, Strelkova MA, Leonova OG, Anashkina AA, Tolstova AP, Adzhubei AA, Bogdanova AY, Makarov AA, Mitkevich VA.","Cells. 2022 Sep 3;11(17):2753. doi: 10.3390/cells11172753.","Petrushanko IY","Cells","2022","2022/09/09","PMC9455167","","10.3390/cells11172753"
"36058397","Role of salts and solvents on the defibrillation of food dye ""sunset yellow"" induced hen egg white lysozyme amyloid fibrils","Hakeem MJ, Khan JM, Malik A, Husain FM, Ambastha V.","Int J Biol Macromol. 2022 Sep 2;219:1351-1359. doi: 10.1016/j.ijbiomac.2022.08.199. Online ahead of print.","Hakeem MJ","Int J Biol Macromol","2022","2022/09/04","","","10.1016/j.ijbiomac.2022.08.199"
"36052514","Identifying the Template for Oligomer to Fibril Conversion for Amyloid-β (1-42) Oligomers using Hamiltonian Replica Exchange Molecular Dynamics","Saha D, Jana B.","Chemphyschem. 2022 Sep 2:e202200393. doi: 10.1002/cphc.202200393. Online ahead of print.","Saha D","Chemphyschem","2022","2022/09/02","","","10.1002/cphc.202200393"
"36045363","Regular proton pump inhibitor use and incident dementia: population-based cohort study","Zhang P, Li Z, Chen P, Zhang A, Zeng Y, Zhang X, Huang Q, Liu D, Qi S, Mao C.","BMC Med. 2022 Sep 1;20(1):271. doi: 10.1186/s12916-022-02478-y.","Zhang P","BMC Med","2022","2022/08/31","PMC9434890","","10.1186/s12916-022-02478-y"
"36041266","Interactions between apolipoprotein E, sex, and amyloid-beta on cerebrospinal fluid p-tau levels in the European prevention of Alzheimer's dementia longitudinal cohort study (EPAD LCS)","Saunders TS, Jenkins N, Blennow K, Ritchie C, Muniz-Terrera G.","EBioMedicine. 2022 Sep;83:104241. doi: 10.1016/j.ebiom.2022.104241. Epub 2022 Aug 27.","Saunders TS","EBioMedicine","2022","2022/08/30","PMC9440380","","10.1016/j.ebiom.2022.104241"
"35978514","Microglia and microglial-based receptors in the pathogenesis and treatment of Alzheimer's disease","Wang Z, Weaver DF.","Int Immunopharmacol. 2022 Sep;110:109070. doi: 10.1016/j.intimp.2022.109070. Epub 2022 Jul 21.","Wang Z","Int Immunopharmacol","2022","2022/08/18","","","10.1016/j.intimp.2022.109070"
"35962130","A proof of concept for targeting the PrP(C) - Amyloid β peptide interaction in basal prostate cancer and mesenchymal colon cancer","Mouillet-Richard S, Martin-Lannerée S, Le Corre D, Hirsch TZ, Ghazi A, Sroussi M, Pilati C, de Reyniès A, Djouadi F, Vodovar N, Launay JM, Laurent-Puig P.","Oncogene. 2022 Sep;41(38):4397-4404. doi: 10.1038/s41388-022-02430-7. Epub 2022 Aug 12.","Mouillet-Richard S","Oncogene","2022","2022/08/12","PMC9481457","","10.1038/s41388-022-02430-7"
"35574600","Identification of SAA1 as a prognostic biomarker associated with immune infiltration in glioblastoma","Cui G, Xiao Y.","Autoimmunity. 2022 Sep;55(6):418-427. doi: 10.1080/08916934.2022.2076085. Epub 2022 May 14.","Cui G","Autoimmunity","2022","2022/05/16","","","10.1080/08916934.2022.2076085"
"35348036","Association between H2 haplotype of microtubule associated protein tau gene (deletion / insertion) with Alzheimer Disease in Tunisian patients","Fray S, Achouri-Rassas AA, Hadj Fredj S, Messaoud T, Belal S.","Neurol Res. 2022 Sep;44(9):814-818. doi: 10.1080/01616412.2022.2056338. Epub 2022 Mar 29.","Fray S","Neurol Res","2022","2022/03/29","","","10.1080/01616412.2022.2056338"
"35305079","Hsp104 N-terminal domain interaction with substrates plays a regulatory role in protein disaggregation","Harari A, Zoltsman G, Levin T, Rosenzweig R.","FEBS J. 2022 Sep;289(17):5359-5377. doi: 10.1111/febs.16441. Epub 2022 Mar 30.","Harari A","FEBS J","2022","2022/03/19","","","10.1111/febs.16441"
"36120541","Exploring the misfolding and self-assembly mechanism of TTR (105-115) peptides by all-atom molecular dynamics simulation","Zhang Y, Zhu Y, Yue H, Zhao Q, Li H.","Front Mol Biosci. 2022 Aug 31;9:982276. doi: 10.3389/fmolb.2022.982276. eCollection 2022.","Zhang Y","Front Mol Biosci","2022","2022/09/19","PMC9473747","","10.3389/fmolb.2022.982276"
"36040212","The role of RHIM in necroptosis","Riebeling T, Kunzendorf U, Krautwald S.","Biochem Soc Trans. 2022 Aug 31;50(4):1197-1205. doi: 10.1042/BST20220535.","Riebeling T","Biochem Soc Trans","2022","2022/08/30","PMC9444067","","10.1042/BST20220535"
"35718155","sfGFP throws light on the early stages of β-barrel amyloidogenesis","Sulatskaya AI, Stepanenko OV, Sulatsky MI, Mikhailova EV, Kuznetsova IM, Turoverov KK, Stepanenko OV.","Int J Biol Macromol. 2022 Aug 31;215:224-234. doi: 10.1016/j.ijbiomac.2022.06.108. Epub 2022 Jun 17.","Sulatskaya AI","Int J Biol Macromol","2022","2022/06/19","","","10.1016/j.ijbiomac.2022.06.108"
"36070630","Rational design of molecular rotor-based fluorescent probes with bi-aromatic rings for efficient in vivo detection of amyloid-β plaques in Alzheimer's disease","Yue N, Fu H, Chen Y, Gao X, Dai J, Cui M.","Eur J Med Chem. 2022 Aug 30;243:114715. doi: 10.1016/j.ejmech.2022.114715. Online ahead of print.","Yue N","Eur J Med Chem","2022","2022/09/07","","","10.1016/j.ejmech.2022.114715"
"35777462","The Monomeric α-Crystallin Domain of the Small Heat-shock Proteins αB-crystallin and Hsp27 Binds Amyloid Fibril Ends","Selig EE, Lynn RJ, Zlatic CO, Mok YF, Ecroyd H, Gooley PR, Griffin MDW.","J Mol Biol. 2022 Aug 30;434(16):167711. doi: 10.1016/j.jmb.2022.167711. Epub 2022 Jun 28.","Selig EE","J Mol Biol","2022","2022/07/01","","","10.1016/j.jmb.2022.167711"
"36030306","Misfolded protein oligomers induce an increase of intracellular Ca(2+) causing an escalation of reactive oxidative species","Fani G, La Torre CE, Cascella R, Cecchi C, Vendruscolo M, Chiti F.","Cell Mol Life Sci. 2022 Aug 27;79(9):500. doi: 10.1007/s00018-022-04513-w.","Fani G","Cell Mol Life Sci","2022","2022/08/27","PMC9420098","","10.1007/s00018-022-04513-w"
"35254410","Microglial large extracellular vesicles propagate early synaptic dysfunction in Alzheimer's disease","Gabrielli M, Prada I, Joshi P, Falcicchia C, D'Arrigo G, Rutigliano G, Battocchio E, Zenatelli R, Tozzi F, Radeghieri A, Arancio O, Origlia N, Verderio C.","Brain. 2022 Aug 27;145(8):2849-2868. doi: 10.1093/brain/awac083.","Gabrielli M","Brain","2022","2022/03/07","PMC9420022","","10.1093/brain/awac083"
"36026506","An in vitro workflow of neuron-laden agarose-laminin hydrogel for studying small molecule-induced amyloidogenic condition","Namchaiw P, Bunreangsri P, Eiamcharoen P, Eiamboonsert S, P Poo-Arporn R.","PLoS One. 2022 Aug 26;17(8):e0273458. doi: 10.1371/journal.pone.0273458. eCollection 2022.","Namchaiw P","PLoS One","2022","2022/08/26","PMC9416999","","10.1371/journal.pone.0273458"
"36029808","MiR-702-5p ameliorates diabetic encephalopathy in db/db mice by regulating 12/15-LOX","Tu Y, Chen Q, Guo W, Xiang P, Huang H, Fei H, Chen L, Yang Y, Peng Z, Gu C, Tan X, Liu X, Lu Y, Chen R, Wang H, Luo Y, Yang J.","Exp Neurol. 2022 Aug 24;358:114212. doi: 10.1016/j.expneurol.2022.114212. Online ahead of print.","Tu Y","Exp Neurol","2022","2022/08/27","","","10.1016/j.expneurol.2022.114212"
"36002854","Microglial TYROBP/DAP12 in Alzheimer's disease: Transduction of physiological and pathological signals across TREM2","Haure-Mirande JV, Audrain M, Ehrlich ME, Gandy S.","Mol Neurodegener. 2022 Aug 24;17(1):55. doi: 10.1186/s13024-022-00552-w.","Haure-Mirande JV","Mol Neurodegener","2022","2022/08/24","PMC9404585","","10.1186/s13024-022-00552-w"
"35969161","How change in chirality prevents β-amyloid type interaction in a protonated cyclic dipeptide dimer","Le Barbu-Debus K, Pérez-Mellor A, Lepère V, Zehnacker A.","Phys Chem Chem Phys. 2022 Aug 24;24(33):19783-19791. doi: 10.1039/d2cp03110h.","Le Barbu-Debus K","Phys Chem Chem Phys","2022","2022/08/15","","","10.1039/d2cp03110h"
"35946470","Protein fibril assisted chiral assembly of gold nanorods","Thomas AR, Swetha K, C K A, Ashraf R, Kumar J, Kumar S, Mandal SS.","J Mater Chem B. 2022 Aug 24;10(33):6360-6371. doi: 10.1039/d2tb01419j.","Thomas AR","J Mater Chem B","2022","2022/08/10","","","10.1039/d2tb01419j"
"35997936","JM-20, a Benzodiazepine-Dihydropyridine Hybrid Molecule, Inhibits the Formation of Alpha-Synuclein-Aggregated Species","Santos CC, Cardim-Pires TR, Shvachiy L, Fonseca-Fonseca LA, Muñoz P, Almeida ÁMAN, Costa ACS, Teles-Souza J, Ochoa-Rodríguez E, de Fátima Dias Costa M, Palhano FL, Segura-Aguilar J, Barbosa DB, do Bomfim MR, Dos Santos Junior MC, Leite FHA, da Rocha Pita SS, Costa SL, Núñez-Figueredo Y, Outeiro TF, Foguel D, Silva VDA.","Neurotox Res. 2022 Aug 23. doi: 10.1007/s12640-022-00559-7. Online ahead of print.","Santos CC","Neurotox Res","2022","2022/08/23","","","10.1007/s12640-022-00559-7"
"35952001","α-Synuclein Interaction with Lipid Bilayer Discs","Dubackic M, Liu Y, Kelley EG, Hetherington C, Haertlein M, Devos JM, Linse S, Sparr E, Olsson U.","Langmuir. 2022 Aug 23;38(33):10216-10224. doi: 10.1021/acs.langmuir.2c01368. Epub 2022 Aug 11.","Dubackic M","Langmuir","2022","2022/08/11","PMC9404543","","10.1021/acs.langmuir.2c01368"
"35996309","Serine racemase modulation for improving brain insulin resistance: An Editorial Highlight for ""Deletion of serine racemase reverses neuronal insulin signaling inhibition by amyloid-β oligomers""","Duarte JMN.","J Neurochem. 2022 Aug 22. doi: 10.1111/jnc.15688. Online ahead of print.","Duarte JMN","J Neurochem","2022","2022/08/23","","","10.1111/jnc.15688"
"36090440","Synthesis of novel benzothiazole derivatives and investigation of their enzyme inhibitory effects against Alzheimer's disease","Karaca Ş, Osmaniye D, Sağlık BN, Levent S, Ilgın S, Özkay Y, Karaburun AÇ, Kaplancıklı ZA, Gundogdu-Karaburun N.","RSC Adv. 2022 Aug 19;12(36):23626-23636. doi: 10.1039/d2ra03803j. eCollection 2022 Aug 16.","Karaca Ş","RSC Adv","2022","2022/09/12","PMC9389372","","10.1039/d2ra03803j"
"35982253","Neuroprotective activity of selenium nanoparticles against the effect of amino acid enantiomers in Alzheimer's disease","Vicente-Zurdo D, Rodríguez-Blázquez S, Gómez-Mejía E, Rosales-Conrado N, León-González ME, Madrid Y.","Anal Bioanal Chem. 2022 Aug 19. doi: 10.1007/s00216-022-04285-z. Online ahead of print.","Vicente-Zurdo D","Anal Bioanal Chem","2022","2022/08/18","","","10.1007/s00216-022-04285-z"
"35982614","Molecular-level insights into the surface-induced assembly of functional bacterial amyloid","Sønderby TV, Zou Y, Wang P, Wang C, Otzen DE.","Biophys J. 2022 Aug 18:S0006-3495(22)00673-7. doi: 10.1016/j.bpj.2022.08.013. Online ahead of print.","Sønderby TV","Biophys J","2022","2022/08/19","","","10.1016/j.bpj.2022.08.013"
"35978440","C5aR1 antagonism alters microglial polarization and mitigates disease progression in a mouse model of Alzheimer's disease","Gomez-Arboledas A, Carvalho K, Balderrama-Gutierrez G, Chu SH, Liang HY, Schartz ND, Selvan P, Petrisko TJ, Pan MA, Mortazavi A, Tenner AJ.","Acta Neuropathol Commun. 2022 Aug 17;10(1):116. doi: 10.1186/s40478-022-01416-6.","Gomez-Arboledas A","Acta Neuropathol Commun","2022","2022/08/17","PMC9386996","","10.1186/s40478-022-01416-6"
"35977795","Structurally Altered, Not Wild-Type, Pentameric C-Reactive Protein Inhibits Formation of Amyloid-β Fibrils","Ngwa DN, Agrawal A.","J Immunol. 2022 Aug 17:ji2200148. doi: 10.4049/jimmunol.2200148. Online ahead of print.","Ngwa DN","J Immunol","2022","2022/08/17","","","10.4049/jimmunol.2200148"
"35920259","Mechanistic regulation of γ-secretase by their substrates","Velasco-Bolom JL, Domínguez L.","Phys Chem Chem Phys. 2022 Aug 17;24(32):19223-19232. doi: 10.1039/d2cp01714h.","Velasco-Bolom JL","Phys Chem Chem Phys","2022","2022/08/03","","","10.1039/d2cp01714h"
"35988223","Cognitive Improvement After Multi-Domain Lifestyle Interventions in an APOE ɛ4 Homozygous Carrier with Mild Cognitive Impairment: A Case Report and Literature Review","Miao Y, Cui L, Li J, Chen Y, Xie X, Guo Q.","J Alzheimers Dis. 2022 Aug 16. doi: 10.3233/JAD-220374. Online ahead of print.","Miao Y","J Alzheimers Dis","2022","2022/08/21","","","10.3233/JAD-220374"
"36054211","Cerebral Amyloid Angiopathy and the Risk of Hematoma Expansion","Seiffge DJ, Polymeris AA, Law ZK, Krishnan K, Zietz A, Thilemann S, Werring D, Al-Shahi Salman R, Dineen RA, Engelter ST, Bath PM, Sprigg N, Lyrer P, Peters N; TICH-2 Investigators.","Ann Neurol. 2022 Aug 13. doi: 10.1002/ana.26481. Online ahead of print.","Seiffge DJ","Ann Neurol","2022","2022/09/02","","","10.1002/ana.26481"
"35964194","Associations Between Sub-Threshold Amyloid-β Deposition, Cortical Volume, and Cognitive Function Modulated by APOE ɛ4 Carrier Status in Cognitively Normal Older Adults","Kang DW, Wang SM, Um YH, Kim NY, Lee CU, Lim HK.","J Alzheimers Dis. 2022 Aug 12. doi: 10.3233/JAD-220427. Online ahead of print.","Kang DW","J Alzheimers Dis","2022","2022/08/14","","","10.3233/JAD-220427"
"36032077","A Novel Tolerogenic Antibody Targeting Disulfide-Modified Autoantigen Effectively Prevents Type 1 Diabetes in NOD Mice","Li W, Zhang Y, Li R, Wang Y, Chen L, Dai S.","Front Immunol. 2022 Aug 11;13:877022. doi: 10.3389/fimmu.2022.877022. eCollection 2022.","Li W","Front Immunol","2022","2022/08/29","PMC9406144","","10.3389/fimmu.2022.877022"
"35924826","Microscopic Insights into the Mechanism of White Light Generation by Disruptive Interaction between Human Serum Albumin Amyloid Fibrils and Surfactant-AIEgen Nanorods","Kistwal T, Rakshit S, Maini R, Kumar A, Datta A.","J Phys Chem Lett. 2022 Aug 11;13(31):7355-7362. doi: 10.1021/acs.jpclett.2c01599. Epub 2022 Aug 4.","Kistwal T","J Phys Chem Lett","2022","2022/08/04","","","10.1021/acs.jpclett.2c01599"
"35948542","Identification of a HTT-specific binding motif in DNAJB1 essential for suppression and disaggregation of HTT","Ayala Mariscal SM, Pigazzini ML, Richter Y, Özel M, Grothaus IL, Protze J, Ziege K, Kulke M, ElBediwi M, Vermaas JV, Colombi Ciacchi L, Köppen S, Liu F, Kirstein J.","Nat Commun. 2022 Aug 10;13(1):4692. doi: 10.1038/s41467-022-32370-5.","Ayala Mariscal SM","Nat Commun","2022","2022/08/10","PMC9365803","","10.1038/s41467-022-32370-5"
"35792301","Abeta-induced presynaptic release of UBC9 through extracellular vesicles involves SNAP23","Long Y, Cheng Y, Yang J, Yang T, Lai Y.","Neurosci Lett. 2022 Aug 10;785:136771. doi: 10.1016/j.neulet.2022.136771. Epub 2022 Jul 2.","Long Y","Neurosci Lett","2022","2022/07/06","","","10.1016/j.neulet.2022.136771"
"36014310","Aβ and Tau Interact with Metal Ions, Lipid Membranes and Peptide-Based Amyloid Inhibitors: Are These Common Features Relevant in Alzheimer's Disease?","Di Natale G, Sabatino G, Sciacca MFM, Tosto R, Milardi D, Pappalardo G.","Molecules. 2022 Aug 9;27(16):5066. doi: 10.3390/molecules27165066.","Di Natale G","Molecules","2022","2022/08/26","PMC9414153","","10.3390/molecules27165066"
"35943292","Endoplasmic reticulum stress induces Alzheimer disease-like phenotypes in the neuron derived from the induced pluripotent stem cell with D678H mutation on amyloid precursor protein","Devina T, Wong YH, Hsiao CW, Li YJ, Lien CC, Cheng IH.","J Neurochem. 2022 Aug 9. doi: 10.1111/jnc.15687. Online ahead of print.","Devina T","J Neurochem","2022","2022/08/09","","","10.1111/jnc.15687"
"35955871","Unraveling Membrane Perturbations Caused by the Bacterial Riboregulator Hfq","Turbant F, Waeytens J, Campidelli C, Bombled M, Martinez D, Grélard A, Habenstein B, Raussens V, Velez M, Wien F, Arluison V.","Int J Mol Sci. 2022 Aug 5;23(15):8739. doi: 10.3390/ijms23158739.","Turbant F","Int J Mol Sci","2022","2022/08/12","PMC9369112","","10.3390/ijms23158739"
"35955845","Enhancing the Amyloid-β Anti-Aggregation Properties of Curcumin via Arene-Ruthenium(II) Derivatization","Cuccioloni M, Cecarini V, Bonfili L, Pettinari R, Tombesi A, Pagliaricci N, Petetta L, Angeletti M, Eleuteri AM.","Int J Mol Sci. 2022 Aug 5;23(15):8710. doi: 10.3390/ijms23158710.","Cuccioloni M","Int J Mol Sci","2022","2022/08/12","PMC9369426","","10.3390/ijms23158710"
"35588599","Structure-based discovery and development of novel O-GlcNAcase inhibitors for the treatment of Alzheimer's disease","Li X, Han J, Bujaranipalli S, He J, Kim EY, Kim H, Im JH, Cho WJ.","Eur J Med Chem. 2022 Aug 5;238:114444. doi: 10.1016/j.ejmech.2022.114444. Epub 2022 May 13.","Li X","Eur J Med Chem","2022","2022/05/19","","","10.1016/j.ejmech.2022.114444"
"35609599","Thermodynamic analysis of amyloid fibril structures reveals a common framework for stability in amyloid polymorphs","van der Kant R, Louros N, Schymkowitz J, Rousseau F.","Structure. 2022 Aug 4;30(8):1178-1189.e3. doi: 10.1016/j.str.2022.05.002. Epub 2022 May 23.","van der Kant R","Structure","2022","2022/05/24","","","10.1016/j.str.2022.05.002"
"35585797","Design and Synthesis of 6-O-Phosphorylated Heparan Sulfate Oligosaccharides to Inhibit Amyloid β Aggregation","Uchimura K, Nishitsuji K, Chiu LT, Ohgita T, Saito H, Allain F, Gannedi V, Wong CH, Hung SC.","Chembiochem. 2022 Aug 3;23(15):e202200191. doi: 10.1002/cbic.202200191. Epub 2022 Jun 16.","Uchimura K","Chembiochem","2022","2022/05/19","PMC9401075","","10.1002/cbic.202200191"
"35059722","Multiplex Connectome Changes across the Alzheimer's Disease Spectrum Using Gray Matter and Amyloid Data","Canal-Garcia A, Gómez-Ruiz E, Mijalkov M, Chang YW, Volpe G, Pereira JB; Alzheimer’s Disease Neuroimaging Initiative.","Cereb Cortex. 2022 Aug 3;32(16):3501-3515. doi: 10.1093/cercor/bhab429.","Canal-Garcia A","Cereb Cortex","2022","2022/01/21","PMC9376877","","10.1093/cercor/bhab429"
