DOI,Title,relevant
10.1172/jci65401,Endocytosis of synaptic ADAM10 in neuronal plasticity and Alzheimer's disease,FALSE
10.1111/jth.13340,Hyperhomocysteinemia exacerbates Alzheimer's disease pathology by way of the β-amyloid fibrinogen interaction,FALSE
10.1021/acs.biochem.5b01168,Stabilization of α-Synuclein Fibril Clusters Prevents Fragmentation and Reduces Seeding Activity and Toxicity,FALSE
10.3390/biology10090900,The Amyloid Region of Hfq Riboregulator Promotes DsrA:rpoS RNAs Annealing,FALSE
10.1007/978-3-030-28151-9_16,"Amyloid Oligomers, Protofibrils and Fibrils",FALSE
10.1016/j.jmgm.2017.06.018,EGCG inhibits the oligomerization of amyloid beta (16-22) hexamer: Theoretical studies,FALSE
10.1038/s41598-019-48819-5,Abundant neuroprotective chaperone Lipocalin-type prostaglandin D synthase (L-PGDS) disassembles the Amyloid-β fibrils,FALSE
10.1016/j.tjog.2012.09.010,Effects of curcumin and demethoxycurcumin on amyloid-β precursor and tau proteins through the internal ribosome entry sites: a potential therapeutic for Alzheimer's disease,FALSE
10.1074/jbc.m304186200,Characterization of the ectodomain shedding of the beta-site amyloid precursor protein-cleaving enzyme 1 (BACE1),FALSE
10.1039/c8cp07501h,Influence of fullerenol on hIAPP aggregation: amyloid inhibition and mechanistic aspects,FALSE
10.1111/jvim.15832,Kinetics of single and dual simultaneous infection of pigs with swine influenza A virus and porcine reproductive and respiratory syndrome virus,FALSE
10.1016/j.aca.2017.01.013,Multivalent foldamer-based affinity assay for selective recognition of Aβ oligomers,FALSE
10.1006/bbrc.2002.6745,Pentapeptide amides interfere with the aggregation of beta-amyloid peptide of Alzheimer's disease,FALSE
10.1016/j.redox.2019.101162,Restoration of aberrant mTOR signaling by intranasal rapamycin reduces oxidative damage: Focus on HNE-modified proteins in a mouse model of down syndrome,FALSE
10.1039/c5mt00133a,Methionine oxidation of amyloid peptides by peroxovanadium complexes: inhibition of fibril formation through a distinct mechanism,FALSE
10.1111/jnc.12484,Blocking the apolipoprotein E/amyloid β interaction in triple transgenic mice ameliorates Alzheimer's disease related amyloid β and tau pathology,FALSE
10.1021/pr1009096,Protein array based interactome analysis of amyloid-β indicates an inhibition of protein translation,FALSE
10.1002/jms.738,Study of the non-covalent interaction between amyloid-beta-peptide and melatonin using electrospray ionization mass spectrometry,FALSE
10.1038/cdd.2011.140,Soluble intracellular adhesion molecule-1 secreted by human umbilical cord blood-derived mesenchymal stem cell reduces amyloid-β plaques,FALSE
10.1038/sj.cdd.4400931,Cell death induced by a caspase-cleaved transmembrane fragment of the Alzheimer amyloid precursor protein,FALSE
10.1038/srep23349,Ultra rapid in vivo screening for anti-Alzheimer anti-amyloid drugs,FALSE
10.3109/13506129.2011.582902,The generic amyloid formation inhibition effect of a designed small aromatic β-breaking peptide,FALSE
10.1021/acs.analchem.1c04339,Hydrogel-Coated Gate Field-Effect Transistor for Real-Time and Label-Free Monitoring of β-Amyloid Aggregation and Its Inhibition,FALSE
10.1039/c5ra00325c,Binding Interactions of Agents That Alter α-Synuclein Aggregation,FALSE
10.1016/s0006-8993(02)03773-3,Prostaglandin E2 rescues cortical neurons from amyloid beta protein-induced apoptosis,FALSE
10.5607/en.2013.22.1.1,Multi target neuroprotective and neurorestorative anti-Parkinson and anti-Alzheimer drugs ladostigil and m30 derived from rasagiline,FALSE
10.1021/bi6025374,Glucagon amyloid-like fibril morphology is selected via morphology-dependent growth inhibition,FALSE
10.1021/bi701682r,Probing the mechanism of insulin aggregation with added metalloporphyrins,FALSE
10.3389/fcimb.2022.884065,Phenol-Soluble Modulins From Staphylococcus aureus Biofilms Form Complexes With DNA to Drive Autoimmunity,FALSE
10.1074/jbc.m310505200,"Membrane topology and nicastrin-enhanced endoproteolysis of APH-1, a component of the gamma-secretase complex",FALSE
10.1016/j.biocel.2011.01.022,Heat shock protein 104 inhibited the fibrillization of prion peptide 106-126 and disassembled prion peptide 106-126 fibrils in vitro,FALSE
10.1042/bss0670081,Neurofibrillary tangles and tau phosphorylation,FALSE
10.1016/j.neuroscience.2005.10.007,Transgenic mice over-expressing human beta-amyloid have functional nicotinic alpha 7 receptors,FALSE
10.1038/mp.2016.35,Genome-wide interaction study of brain beta-amyloid burden and cognitive impairment in Alzheimer's disease,FALSE
10.1007/s10495-009-0364-4,Sphingomyelinase dependent apoptosis following treatment of pancreatic beta-cells with amyloid peptides Abeta(1-42) or IAPP,FALSE
10.3233/jad-180286,Microglia CREB-Phosphorylation Mediates Amyloid-β-Induced Neuronal Toxicity,FALSE
10.1078/0171-9335-00427,Cytoprotective function of sAppalpha in human keratinocytes,FALSE
10.1016/j.jmb.2005.08.061,Towards a structural understanding of the fibrillization pathway in Machado-Joseph's disease: trapping early oligomers of non-expanded ataxin-3,FALSE
10.1016/j.brainres.2003.12.018,Effect of Ginkgo biloba (EGb 761) on staurosporine-induced neuronal death and caspase activity in cortical cultured neurons,FALSE
10.1016/j.febslet.2010.01.005,NMR characterization of the interactions between lyso-GM1 aqueous micelles and amyloid beta,FALSE
10.1016/j.colsurfb.2016.07.052,Tuning self-assembled morphology of the Aβ(16-22) peptide by substitution of phenylalanine residues,FALSE
10.1016/b978-0-12-385883-2.00001-1,Membrane pores in the pathogenesis of neurodegenerative disease,FALSE
10.3389/fphar.2017.00805,Polygalae Radix Extract Prevents Axonal Degeneration and Memory Deficits in a Transgenic Mouse Model of Alzheimer's Disease,FALSE
10.1016/j.neulet.2017.01.036,Association between butyrylcholinesterase and cerebrospinal fluid biomarkers in Alzheimer's disease patients,FALSE
10.1523/jneurosci.3668-12.2012,Appoptosin is a novel pro-apoptotic protein and mediates cell death in neurodegeneration,FALSE
10.1016/j.jcis.2016.12.038,Synergistic effects of negatively charged hydrophobic nanoparticles and (-)-epigallocatechin-3-gallate on inhibiting amyloid β-protein aggregation,FALSE
10.1021/acschemneuro.9b00175,Oleocanthal-Rich Extra-Virgin Olive Oil Restores the Blood-Brain Barrier Function through NLRP3 Inflammasome Inhibition Simultaneously with Autophagy Induction in TgSwDI Mice,FALSE
10.1002/minf.201200169,Multiple e-Pharmacophore Modeling Combined with High-Throughput Virtual Screening and Docking to Identify Potential Inhibitors of β-Secretase(BACE1),FALSE
10.1016/j.bbr.2021.113584,Overexpression of miR-132-3p contributes to neuronal protection in in vitro and in vivo models of Alzheimer's disease,FALSE
10.1016/j.bbapap.2011.05.016,Dynamics of polymerization shed light on the mechanisms that lead to multiple amyloid structures of the prion protein,FALSE
10.1016/j.ijbiomac.2019.07.002,A redox cycle meets insulin fibrillation in vitro,FALSE
10.1007/bf02836466,Clinical observation and mechanism study on treatment of senile dementia with Naohuandan,FALSE
10.1016/j.bmc.2007.12.048,Lead identification of acetylcholinesterase inhibitors-histamine H3 receptor antagonists from molecular modeling,FALSE
10.1016/j.pneurobio.2012.03.002,Structural features and cytotoxicity of amyloid oligomers: implications in Alzheimer's disease and other diseases with amyloid deposits,FALSE
10.1016/j.neulet.2015.12.050,Phosphorylation of Fe65 amyloid precursor protein-binding protein in response to neuronal differentiation,FALSE
10.6026/97320630015760,"From EST to structure models for functional inference of APP, BACE1, PSEN1, PSEN2 genes",FALSE
10.3233/jad-121444,Impaired transcription in Alzheimer's disease: key role in mitochondrial dysfunction and oxidative stress,FALSE
10.3233/jad-220450,Joint Computational/Cell-Based Approach for Screening Inhibitors of Tau Oligomerization: A Proof-of-Concept Study,FALSE
10.1016/j.biopsych.2016.12.023,Beta-Site Amyloid Precursor Protein Cleaving Enzyme 1 Inhibition Impairs Synaptic Plasticity via Seizure Protein 6,FALSE
10.1063/1.1633253,Contact pair dynamics during folding of two small proteins: chicken villin head piece and the Alzheimer protein beta-amyloid,FALSE
10.1021/acschemneuro.2c00102,"Interaction of Therapeutic d-Peptides with Aβ42 Monomers, Thermodynamics, and Binding Analysis",FALSE
10.1038/nature14864,η-Secretase processing of APP inhibits neuronal activity in the hippocampus,FALSE
10.1002/jcb.28827,"Regulatory role of Golgi brefeldin A resistance factor-1 in amyloid precursor protein trafficking, cleavage and Aβ formation",FALSE
10.1167/iovs.14-15612,Activation of liver X receptor protects inner retinal damage induced by N-methyl-D-aspartate,FALSE
10.1002/pro.4360,Aromaticity at position 39 in α-synuclein: A modulator of amyloid fibril assembly and membrane-bound conformations,FALSE
10.1016/j.bmc.2021.116017,In-situ side-chain peptide cyclization as a breaker strategy against the amyloid aggregating peptide,FALSE
10.2174/1567205014666170117104053,High Glucose Enhances Neurotoxicity and Inflammatory Cytokine Secretion by Stimulated Human Astrocytes,FALSE
10.1007/s12010-014-1092-y,"The effect of Arg on the structure perturbation and chaperone activity of α-crystallin in the presence of the crowding agent, dextran",FALSE
10.1038/nsmb.2991,Aβ(1-42) fibril structure illuminates self-recognition and replication of amyloid in Alzheimer's disease,FALSE
10.1039/c5mb00066a,Study on the inter- and intra-peptide salt-bridge mechanism of Aβ23-28 oligomer interaction with small molecules: QM/MM method,FALSE
10.1016/j.jmb.2017.09.005,Opposed Effects of Dityrosine Formation in Soluble and Aggregated α-Synuclein on Fibril Growth,FALSE
10.1046/j.1471-4159.2003.01988.x,Signal transduction pathways in mouse microglia N-11 cells activated by advanced glycation endproducts (AGEs),FALSE
10.1016/j.atherosclerosis.2013.03.023,Serum amyloid A stimulates lipoprotein-associated phospholipase A2 expression in vitro and in vivo,FALSE
,Fluorinated and iodinated (Z)-2-(4-(2-fluoroethoxy)benzylidene)-5-iodobenzofuran-3(2H)-one,FALSE
10.1016/j.ejmech.2022.114715,Rational design of molecular rotor-based fluorescent probes with bi-aromatic rings for efficient in vivo detection of amyloid-β plaques in Alzheimer's disease,FALSE
10.1089/rej.2013.1431,Neuropharmacological review of the nootropic herb Bacopa monnieri,FALSE
10.1038/s41598-020-67117-z,Iron stored in ferritin is chemically reduced in the presence of aggregating Aβ(1-42),FALSE
,[The influence of interdomain interaction on the amyloidogenic properties Bence-Jones proteins],FALSE
10.1080/19336896.2015.1084464,Truncated forms of the prion protein PrP demonstrate the need for complexity in prion structure,FALSE
10.3233/jad-200244,LRP::FLAG Reduces Phosphorylated Tau Levels in Alzheimer's Disease Cell Culture Models,FALSE
10.1021/acs.jmedchem.9b00309,Structure-Based Design of Selective β-Site Amyloid Precursor Protein Cleaving Enzyme 1 (BACE1) Inhibitors: Targeting the Flap to Gain Selectivity over BACE2,FALSE
10.2174/1389450116666151001111826,Effect of Genetic Polymorphisms (SNPs) in CHRNA7 Gene on Response to Acetylcholinesterase Inhibitors (AChEI) in Patients with Alzheimer's Disease,FALSE
10.1523/jneurosci.0210-14.2014,Activation of TRPML1 clears intraneuronal Aβ in preclinical models of HIV infection,FALSE
10.1021/acs.jproteome.8b00818,Hippocampal Proteomic Alteration in Triple Transgenic Mouse Model of Alzheimer's Disease and Implication of PINK 1 Regulation in Donepezil Treatment,FALSE
10.1111/j.1365-2826.2010.02044.x,Androgens selectively protect against apoptosis in hippocampal neurones,FALSE
10.1111/j.1748-1716.2009.01961.x,"Tenuifolin, an extract derived from tenuigenin, inhibits amyloid-beta secretion in vitro",FALSE
10.1016/j.ejmech.2020.113126,Structural and mechanistic insights into the inhibition of amyloid-β aggregation by Aβ(39-42) fragment derived synthetic peptides,FALSE
10.1016/j.colsurfb.2018.09.029,Examining the effects of dextran-based polymer-coated nanoparticles on amyloid fibrillogenesis of human insulin,FALSE
10.3389/fcell.2019.00166,Visualization of Ceramide-Associated Proteins in Ceramide-Rich Platforms Using a Cross-Linkable Ceramide Analog and Proximity Ligation Assays With Anti-ceramide Antibody,FALSE
10.1016/j.bioorg.2022.106137,Discovery of potent and selective dual cholinesterases and β-secretase inhibitors in pomegranate as a treatment for Alzheimer's disease,FALSE
10.1186/1750-1326-9-28,Vascular and parenchymal amyloid pathology in an Alzheimer disease knock-in mouse model: interplay with cerebral blood flow,FALSE
10.3389/fcimb.2022.890839,Assessing Als3 Peptide-Binding Cavity and Amyloid-Forming Region Contributions to Candida albicans Invasion of Human Oropharyngeal Epithelial Cells,FALSE
10.1136/gutjnl-2021-326269,Gut microbiota regulate Alzheimer's disease pathologies and cognitive disorders via PUFA-associated neuroinflammation,FALSE
10.1016/s0925-4439(00)00034-x,Approaches to discovery and characterization of inhibitors of amyloid beta-peptide polymerization,FALSE
10.1529/biophysj.106.081877,Phenol red interacts with the protofibril-like oligomers of an amyloidogenic hexapeptide NFGAIL through both hydrophobic and aromatic contacts,FALSE
10.1096/fj.202000566r,Human riboflavin kinase: Species-specific traits in the biosynthesis of the FMN cofactor,FALSE
10.1016/j.febslet.2004.08.062,Transglutaminase catalyzes differential crosslinking of small heat shock proteins and amyloid-beta,FALSE
10.1021/acs.jpcb.1c02322,Nanomechanical Stability of Aβ Tetramers and Fibril-like Structures: Molecular Dynamics Simulations,FALSE
10.1074/jbc.m112.407072,BACE1 protein endocytosis and trafficking are differentially regulated by ubiquitination at lysine 501 and the Di-leucine motif in the carboxyl terminus,FALSE
10.1111/j.1471-4159.2007.05105.x,Curcumin binds to the alpha-helical intermediate and to the amyloid form of prion protein - a new mechanism for the inhibition of PrP(Sc) accumulation,FALSE
10.1016/j.chemphyslip.2004.09.006,Interaction of the fusogenic peptide B18 in its amyloid-state with lipid membranes studied by solid state NMR,FALSE
10.1002/ddr.21997,Blood-brain barrier permeable benzylpiperidin-4-yl-linked benzylamino benzamides as dual cholinesterase inhibitors,FALSE
10.1016/j.trci.2016.06.004,NPT088 reduces both amyloid-β and tau pathologies in transgenic mice,FALSE
10.1074/jbc.m111.299545,Goodpasture antigen-binding protein/ceramide transporter binds to human serum amyloid P-component and is present in brain amyloid plaques,FALSE
10.1186/2191-219x-3-10,Profiling of hepatic clearance pathways of Pittsburgh compound B and human liver cytochrome p450 phenotyping,FALSE
10.1161/strokeaha.107.484162,Association of the glutathione S-transferase omega-1 Ala140Asp polymorphism with cerebrovascular atherosclerosis and plaque-associated interleukin-1 alpha expression,FALSE
10.1046/j.1432-1033.2003.03784.x,Efficient inhibition of beta-secretase gene expression in HEK293 cells by tRNAVal-driven and CTE-helicase associated hammerhead ribozymes,FALSE
10.1111/cbdd.12492,In Silico Design of Beta-Secretase Inhibitors in Alzheimer's Disease,FALSE
10.1073/pnas.1818530116,Molecular structure of an N-terminal phosphorylated β-amyloid fibril,FALSE
10.1517/14728222.2014.983901,Tropisetron and its targets in Alzheimer's disease,FALSE
10.1096/fj.09-134999,Inhibition of acyl-coenzyme A: cholesterol acyl transferase modulates amyloid precursor protein trafficking in the early secretory pathway,FALSE
10.1038/s41598-017-15166-2,Knockdown of amyloid precursor protein increases calcium levels in the endoplasmic reticulum,FALSE
10.1016/j.neuroscience.2008.08.022,Amyloid-beta peptide decreases glutamate uptake in cultured astrocytes: involvement of oxidative stress and mitogen-activated protein kinase cascades,FALSE
10.1016/s0161-813x(02)00081-5,"Abeta[25-35] peptide and iron promote apoptosis in lymphocytes by an oxidative stress mechanism: involvement of H2O2, caspase-3, NF-kappaB, p53 and c-Jun",FALSE
10.1002/jbio.201100132,Fibrillogenesis of human β2 -microglobulin in three-dimensional silicon microstructures,FALSE
10.1001/jamapsychiatry.2013.4506,Synergistic effects of ischemia and β-amyloid burden on cognitive decline in patients with subcortical vascular mild cognitive impairment,FALSE
10.1371/journal.pone.0079378,"Executive function changes before memory in preclinical Alzheimer's pathology: a prospective, cross-sectional, case control study",FALSE
10.1021/jacs.6b09734,α-Helix Mimetics as Modulators of Aβ Self-Assembly,FALSE
10.1126/sciadv.abc1449,Molecular recognition of human islet amyloid polypeptide assembly by selective oligomerization of thioflavin T,FALSE
10.1002/jnr.22725,Sirt1 overexpression in neurons promotes neurite outgrowth and cell survival through inhibition of the mTOR signaling,FALSE
10.1080/07391102.2020.1715838,"Non-enzymatic glycation of protein induces cancer cell proliferation and its inhibition by quercetin: Spectroscopic, cytotoxicity and molecular docking studies",FALSE
10.1016/j.bbrc.2005.01.068,Contribution of simple saccharides to the stabilization of amyloid structure,FALSE
10.1016/j.bmcl.2009.09.074,New stilbene dimers against amyloid fibril formation,FALSE
10.2174/138920310791330631,Structural polymorphism of amyloid oligomers and fibrils underlies different fibrillization pathways: immunogenicity and cytotoxicity,FALSE
10.1021/mp400499y,Enhancement of binding affinity for amyloid aggregates by multivalent interactions of 99mTc-hydroxamamide complexes,FALSE
10.1016/j.ijbiomac.2021.02.213,Inhibition behavior of Sennoside A and Sennoside C on amyloid fibrillation of human lysozyme and its possible mechanism,FALSE
10.1016/s0014-4886(03)00127-4,Neuroprotection and neuronal dysfunction upon repetitive inhibition of oxidative phosphorylation,FALSE
,Lipidation of apolipoprotein E influences its isoform-specific interaction with Alzheimer's amyloid beta peptides,FALSE
10.1016/j.bmc.2009.02.016,Amphotericin B interactions with soluble oligomers of amyloid Abeta1-42 peptide,FALSE
10.2337/diabetes.49.9.1468,The c-Jun amino-terminal kinase pathway is preferentially activated by interleukin-1 and controls apoptosis in differentiating pancreatic beta-cells,FALSE
10.1021/acschemneuro.8b00725,Structural Modeling of γ-Secretase Aβ (n) Complex Formation and Substrate Processing,FALSE
10.1016/s0006-291x(02)02901-7,Human serum amyloid A3 peptide enhances intestinal MUC3 expression and inhibits EPEC adherence,FALSE
10.1126/science.1101262,Harnessing chaperones to generate small-molecule inhibitors of amyloid beta aggregation,FALSE
10.1021/la3002306,"Structure, orientation, and surface interaction of Alzheimer amyloid-β peptides on the graphite",FALSE
10.1002/psc.811,Exploring interaction of beta-amyloid segment (25-35) with membrane models through paramagnetic probes,FALSE
10.1016/j.mehy.2006.04.067,Toward prevention of Alzheimers disease--potential nutraceutical strategies for suppressing the production of amyloid beta peptides,FALSE
10.2174/1389203043486937,Binding sites of amyloid beta-peptide in cell plasma membrane and implications for Alzheimer's disease,FALSE
10.1097/wnr.0b013e3283140f10,Interaction of microglia and amyloid-beta through beta2-integrin is regulated by RhoA,FALSE
10.1523/jneurosci.2427-21.2022,Microglial mTOR Activation Upregulates Trem2 and Enhances β-Amyloid Plaque Clearance in the 5XFAD Alzheimer's Disease Model,FALSE
,IL-6 induced lncRNA MALAT1 enhances TNF-α expression in LPS-induced septic cardiomyocytes via activation of SAA3,FALSE
10.1016/j.bcp.2017.04.004,Natural product-based amyloid inhibitors,FALSE
10.1002/cplu.201600239,Aminocyclodextrin Oligomers as Protective Agents of Protein Aggregation,FALSE
10.1073/pnas.1421182112,"Na, K-ATPase α3 is a death target of Alzheimer patient amyloid-β assembly",FALSE
10.1074/jbc.m008453200,Modulation of amyloid precursor protein metabolism by X11alpha /Mint-1. A deletion analysis of protein-protein interaction domains,FALSE
10.3389/fncom.2019.00054,Linking Molecular Pathways and Large-Scale Computational Modeling to Assess Candidate Disease Mechanisms and Pharmacodynamics in Alzheimer's Disease,FALSE
10.1021/bi050840w,Lipid membranes modulate the structure of islet amyloid polypeptide,FALSE
10.1002/pmic.200401185,Post-translational processing of beta-secretase in Alzheimer's disease,FALSE
10.1016/j.apjtm.2017.10.018,Comparative molecular docking studies of lupeol and lupenone isolated from Pueraria lobata that inhibits BACE1: Probable remedies for Alzheimer's disease,FALSE
10.4161/auto.7.12.18051,Macroautophagy-generated increase of lysosomal amyloid β-protein mediates oxidant-induced apoptosis of cultured neuroblastoma cells,FALSE
10.1021/ja802210u,Nitrogen-14 solid-state NMR spectroscopy of aligned phospholipid bilayers to probe peptide-lipid interaction and oligomerization of membrane associated peptides,FALSE
10.1038/cdd.2010.111,Human-IAPP disrupts the autophagy/lysosomal pathway in pancreatic β-cells: protective role of p62-positive cytoplasmic inclusions,FALSE
10.1111/cbdd.12555,Insights into the Interaction Mechanism of Ligands with Aβ42 Based on Molecular Dynamics Simulations and Mechanics: Implications of Role of Common Binding Site in Drug Design for Alzheimer's Disease,FALSE
10.1155/2021/2031407,MiR-29c-3p May Promote the Progression of Alzheimer's Disease through BACE1,FALSE
10.3390/ijms21228661,Clinical Utility of the Pathogenesis-Related Proteins in Alzheimer's Disease,FALSE
10.1074/jbc.m115.712455,Differential Activation of Innate Immune Pathways by Distinct Islet Amyloid Polypeptide (IAPP) Aggregates,FALSE
10.1080/1061186x.2022.2063297,Formulation development of tocopherol polyethylene glycol nanoengineered polyamidoamine dendrimer for neuroprotection and treatment of Alzheimer disease,FALSE
10.1186/s13195-021-00940-2,Plasma MCP-1 and changes on cognitive function in community-dwelling older adults,FALSE
10.1073/pnas.1219059110,Common mechanism unites membrane poration by amyloid and antimicrobial peptides,FALSE
10.1016/j.celrep.2022.111062,Inhibition of SIRT2 promotes APP acetylation and ameliorates cognitive impairment in APP/PS1 transgenic mice,FALSE
10.1074/jbc.m610390200,Soluble Abeta inhibits specific signal transduction cascades common to the insulin receptor pathway,FALSE
